gene_id	gene_symbol	count	tfidf	rank_tfidf
2245	FGD1	553	0.9428756261925177	1
196527	ANO6	413	0.7195491772652068	2
64064	OXCT2	198	0.42940594009241	3
55107	ANO1	263	0.369802847329537	4
2811	GP1BA	203	0.2666709241511296	5
2147	F2	306	0.252547910381657	6
6868	ADAM17	163	0.20615845411043185	7
102	ADAM10	145	0.19489436282223074	8
7450	VWF	186	0.1864444115942674	9
760	CA2	128	0.15097503743864737	10
26762	HAVCR1	95	0.12704785411502836	11
27301	APEX2	63	0.10581445273944616	12
998	CDC42	84	0.09709428482006499	13
4597	MVD	53	0.0912302552787275	14
2688	GH1	92	0.08410298974717796	15
2621	GAS6	54	0.0786380253050005	16
2159	F10	66	0.07607900164882542	17
5627	PROS1	42	0.06648336379123349	18
4067	LYN	49	0.06512475186252727	19
10235	RASGRP2	31	0.057426400390163765	20
286410	ATP11C	27	0.052691328802985396	21
91937	TIMD4	31	0.050814927805743274	22
308	ANXA5	55	0.048100091882290794	23
51206	GP6	33	0.04753615052994112	24
55113	XKR8	22	0.04436618055311065	25
3028	HSD17B10	26	0.0427630780098983	26
5175	PECAM1	43	0.04219650191564269	27
23250	ATP11A	22	0.04137895595417617	28
112476	PRRT2	39	0.037435942417146206	29
558	AXL	29	0.036597125619049375	30
23038	WDTC1	25	0.03567797025114557	31
10075	HUWE1	22	0.0347973443438151	32
5908	RAP1B	21	0.03417284705392553	33
64805	P2RY12	24	0.031470222454878766	34
57101	ANO2	17	0.03136078045519987	35
2244	FGB	38	0.03135619585400952	36
2157	F8	25	0.03117300830725884	37
2153	F5	28	0.031077087518667775	38
10461	MERTK	22	0.03057135471345843	39
84868	HAVCR2	26	0.0300675049683912	40
356	FASLG	28	0.029607325737477104	41
5599	MAPK8	32	0.02809654013367402	42
685	BTC	17	0.027551760024904382	43
5923	RASGRF1	20	0.02735711623040868	44
83706	FERMT3	16	0.027169293593863393	45
2152	F3	27	0.027093027167733614	46
246	ALOX15	18	0.024772711724304734	47
19	ABCA1	20	0.024680479557575026	48
2208	FCER2	19	0.024201505523107316	49
7039	TGFA	19	0.02305628691723884	50
