gene_id	gene_symbol	count	tfidf	rank_tfidf
2153	F5	3135	2.7311886581036684	1
2147	F2	576	0.37314421415432125	2
90411	MCFD2	191	0.2918865265211032	3
3998	LMAN1	217	0.2828946167912173	4
5328	PLAU	287	0.2468062970769025	5
324	APC	267	0.2020022109498462	6
2159	F10	175	0.15834005580134408	7
7450	VWF	187	0.1471329384252544	8
2157	F8	127	0.12430090858630882	9
5624	PROC	117	0.10755857766995126	10
7035	TFPI	86	0.09031233097925397	11
2244	FGB	115	0.07448511416697878	12
4210	MEFV	64	0.07139999465889796	13
414236	C10ORF55	38	0.06886110384207231	14
5340	PLG	84	0.06877816379194061	15
3674	ITGA2B	68	0.06780473648911838	16
2155	F7	66	0.06527582118522608	17
2162	F13A1	49	0.049641379396861605	18
462	SERPINC1	54	0.045960230312293626	19
3690	ITGB3	45	0.04417651608251181	20
1351	COX8A	44	0.04184777443737101	21
2152	F3	40	0.031505446237040775	22
2160	F11	26	0.03102408304472452	23
7980	TFPI2	24	0.02871514676175263	24
11093	ADAMTS13	23	0.024085407826168595	25
7056	THBD	25	0.02358843101332352	26
2158	F5	22	0.0227974374656825	27
2811	GP1BA	22	0.02268475977021029	28
57649	PHF12	14	0.019002029658730334	29
2243	FGA	16	0.018214073798383097	30
2815	GP9	14	0.01748898830254906	31
5327	PLAT	20	0.016093791113551668	32
5104	SERPINA5	12	0.015771631181016276	33
1958	EGR1	15	0.013915086141593145	34
5054	SERPINE1	17	0.013731745751870549	35
2161	F12	13	0.013530493715825999	36
2266	FGG	10	0.011990998549348144	37
7066	THPO	11	0.01120106149384067	38
2812	GP1BB	8	0.01109163605797749	39
26503	SLC17A5	16	0.010772406044996699	40
4524	MTHFR	11	0.01021088007812953	41
56914	OTOR	8	0.010190979762694815	42
22915	MMRN1	8	0.0086791107984934	43
5196	PF4	8	0.007832921590668469	44
22924	MAPRE3	6	0.00781797763749112	45
5345	SERPINF2	6	0.006610379465918162	46
947	CD34	9	0.005910005897777156	47
9622	KLK4	6	0.005862799067160176	48
285440	CYP4V2	4	0.005429151331065809	49
3827	KNG1	6	0.005415045123252563	50
