Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Neuroactive ligand-receptor interaction	9/341	1.5604120146829654e-11	8.426224879288014e-10	0	0	48.420591456736034	1204.873115657078	POMC;GH1;GNRH1;OXT;PRL;TRH;AVP;TSHB;TRHR
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	0.00021744727153529255	0.0058710763314528	0	0	30.21906693711967	254.85413787677368	GH1;POU1F1;IGF1
KEGG_2021_Human	cAMP signaling pathway	3/216	0.0012365096765005	0.0222571741770101	0	0	16.376967688483845	109.65137540177784	POMC;OXT;TSHB
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	0.0050122829548059	0.0676658198898803	0	0	9.868778280542989	52.2637055284568	GH1;PRL;IGF1
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	2/143	0.0088649770095239	0.0957417517028587	0	0	15.63356973995272	73.87873089122361	HESX1;IGF1
KEGG_2021_Human	JAK-STAT signaling pathway	2/162	0.0112582429558997	0.1013241866030976	0	0	13.76388888888889	61.75381693106292	GH1;PRL
KEGG_2021_Human	Glioma	1/75	0.0724202061022377	0.1591359899579982	0	0	14.157894736842104	37.16829530659873	IGF1
KEGG_2021_Human	Complement and coagulation cascades	1/85	0.0816910427282763	0.1591359899579982	0	0	12.466165413533837	31.225387249064404	MBL2
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	0.0862933855050247	0.1591359899579982	0	0	11.762862211709049	28.81903981668561	IGF1
KEGG_2021_Human	GnRH signaling pathway	1/93	0.0890442642622752	0.1591359899579982	0	0	11.377574370709382	27.518048057317102	GNRH1
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.0908738104379916	0.1591359899579982	0	0	11.13437849944009	26.70339549535462	MBL2
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	1/98	0.0936115860195749	0.1591359899579982	0	0	10.788388497015736	25.553389086720664	IGF1
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	0.0936115860195749	0.1591359899579982	0	0	10.788388497015736	25.553389086720664	POMC
KEGG_2021_Human	Thyroid hormone synthesis	1/75	0.0724202061022377	0.1591359899579982	0	0	14.157894736842104	37.16829530659873	TSHB
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.0954324164624814	0.1591359899579982	0	0	10.569377990430622	24.83103038927071	IGF1
KEGG_2021_Human	Melanogenesis	1/101	0.0963415280618174	0.1591359899579982	0	0	10.463157894736842	24.48228086178406	POMC
KEGG_2021_Human	Longevity regulating pathway	1/102	0.0972497716409988	0.1591359899579982	0	0	10.359041167274622	24.14146206514577	IGF1
KEGG_2021_Human	Prostate cancer	1/97	0.0926998655948555	0.1591359899579982	0	0	10.901315789473683	25.927561451957157	IGF1
KEGG_2021_Human	p53 signaling pathway	1/73	0.0705554002871621	0.1591359899579982	0	0	14.552631578947368	38.5842224505161	IGF1
KEGG_2021_Human	Dilated cardiomyopathy	1/96	0.0917872740073591	0.1591359899579982	0	0	11.01662049861496	26.310792233027552	IGF1
KEGG_2021_Human	Prolactin signaling pathway	1/70	0.0677515123929905	0.1591359899579982	0	0	15.187643020594964	40.88374528633187	PRL
KEGG_2021_Human	Melanoma	1/72	0.0696216623496152	0.1591359899579982	0	0	14.758339510748703	39.32624503481651	IGF1
KEGG_2021_Human	Folate biosynthesis	1/26	0.0256932740553108	0.1591359899579982	0	0	42.01052631578948	153.82263569148483	GGH
KEGG_2021_Human	Cytokine-cytokine receptor interaction	2/295	0.034589354766856	0.1591359899579982	0	0	7.465680697762609	25.11611250856476	GH1;PRL
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0363736593292806	0.1591359899579982	0	0	29.157894736842103	96.62665093408292	IGF1
KEGG_2021_Human	Ovarian steroidogenesis	1/51	0.0498060789247286	0.1591359899579982	0	0	20.978947368421053	62.92883309083605	IGF1
KEGG_2021_Human	Autoimmune thyroid disease	1/53	0.051710413228189	0.1591359899579982	0	0	20.17004048582996	59.74559828701417	TSHB
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	0.0431122594296053	0.1591359899579982	0	0	24.402692778457773	76.72079424655034	AVP
KEGG_2021_Human	Regulation of lipolysis in adipocytes	1/55	0.0536111215176	0.1591359899579982	0	0	19.42105263157895	56.82597555721978	TSHB
KEGG_2021_Human	Long-term depression	1/60	0.058347071283324	0.1591359899579982	0	0	17.770740410347905	50.492824203227855	IGF1
KEGG_2021_Human	GnRH secretion	1/64	0.0621196118687717	0.1591359899579982	0	0	16.639097744360903	46.23495322747936	GNRH1
KEGG_2021_Human	Cortisol synthesis and secretion	1/65	0.0630605011079274	0.1591359899579982	0	0	16.37828947368421	45.26403459739593	POMC
KEGG_2021_Human	Adipocytokine signaling pathway	1/69	0.0668150987603724	0.1591359899579982	0	0	15.411764705882351	41.70155664670343	POMC
KEGG_2021_Human	HIF-1 signaling pathway	1/109	0.1035832376271884	0.1645145538784758	0	0	9.68421052631579	21.95778295069413	IGF1
KEGG_2021_Human	Phagosome	1/152	0.1415723809153899	0.1729978782022249	0	0	6.911467410247473	13.511532897552032	MBL2
KEGG_2021_Human	Oxytocin signaling pathway	1/154	0.1433015535621199	0.1729978782022249	0	0	6.820433436532507	13.250766063915645	OXT
KEGG_2021_Human	mTOR signaling pathway	1/154	0.1433015535621199	0.1729978782022249	0	0	6.820433436532507	13.250766063915645	IGF1
KEGG_2021_Human	Cushing syndrome	1/155	0.1441648985018541	0.1729978782022249	0	0	6.775803144224197	13.123358631426164	POMC
KEGG_2021_Human	Phospholipase D signaling pathway	1/148	0.1381040836089422	0.1729978782022249	0	0	7.100966702470462	14.058122135286425	AVP
KEGG_2021_Human	FoxO signaling pathway	1/131	0.1232147495679265	0.1729978782022249	0	0	8.036437246963562	16.82690539004688	IGF1
KEGG_2021_Human	Estrogen signaling pathway	1/137	0.1284974930534796	0.1729978782022249	0	0	7.679566563467493	15.757287045296094	POMC
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	0.1249790349715015	0.1729978782022249	0	0	7.913875598086125	16.457769102687624	AVP
KEGG_2021_Human	Oocyte meiosis	1/129	0.1214470850948444	0.1729978782022249	0	0	8.162828947368421	17.209501461061883	IGF1
KEGG_2021_Human	AMPK signaling pathway	1/120	0.1134506143347115	0.1729978782022249	0	0	8.784166298098187	19.11775107083827	IGF1
