Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Coronavirus disease	11/232	6.177188066242972e-17	6.671363111542411e-15	0	0	109.27551533433886	4078.4991744163167	IFIH1;IL6;IFNA1;STING1;DDX58;IL1B;CGAS;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Influenza A	10/172	2.9134508318710523e-16	1.573263449210368e-14	0	0	122.33333333333331	4376.110845034503	IFIH1;IL6;IFNA1;IFNG;DDX58;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Inflammatory bowel disease	8/65	9.721841262853197e-16	3.49986285462715e-14	0	0	233.01754385964912	8054.7142828485985	IL6;IFNG;IL1B;IL12B;TNF;TLR4;NFKB1;IL17A
KEGG_2021_Human	Cytosolic DNA-sensing pathway	7/63	1.636792422729743e-13	4.419339541370307e-12	0	0	191.57692307692307	5640.190850902673	IL6;IFNA1;STING1;DDX58;IL1B;CGAS;NFKB1
KEGG_2021_Human	Herpes simplex virus 1 infection	11/498	2.8046149339700997e-13	6.057968257375417e-12	0	0	48.92151494410221	1413.9462561656962	IFIH1;IL6;IFNA1;STING1;IFNG;DDX58;IL1B;CGAS;IL12B;TNF;NFKB1
KEGG_2021_Human	RIG-I-like receptor signaling pathway	7/70	3.532392944006953e-13	6.358307299212516e-12	0	0	170.23076923076923	4880.793745726091	IFIH1;IFNA1;STING1;DDX58;IL12B;TNF;NFKB1
KEGG_2021_Human	Yersinia infection	8/137	4.632686492674882e-13	7.036900834608668e-12	0	0	102.5891472868217	2913.5799252726406	IL6;CD4;CD8A;IL1B;MEFV;TNF;TLR4;NFKB1
KEGG_2021_Human	Measles	8/139	5.212519136747161e-13	7.036900834608668e-12	0	0	101.01272264631044	2856.896666789806	IFIH1;IL6;IFNA1;DDX58;IL1B;IL12B;TLR4;NFKB1
KEGG_2021_Human	Tuberculosis	8/180	4.228247443315972e-12	4.775114505791425e-11	0	0	76.7751937984496	2010.683479293531	IL6;IFNA1;IFNG;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	NOD-like receptor signaling pathway	8/181	4.421402320177245e-12	4.775114505791425e-11	0	0	76.32755298651253	1995.5506095251376	IL6;IFNA1;STING1;IL1B;MEFV;TNF;TLR4;NFKB1
KEGG_2021_Human	Amoebiasis	7/102	5.343503450728475e-12	4.8091531056556274e-11	0	0	112.7085020242915	2925.364904278716	IL6;IFNG;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Chagas disease	7/102	5.343503450728475e-12	4.8091531056556274e-11	0	0	112.7085020242915	2925.364904278716	IL6;IFNG;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Toll-like receptor signaling pathway	7/104	6.1398699931551145e-12	5.100815071236557e-11	0	0	110.37351308485329	2849.4266253076617	IL6;IFNA1;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Legionellosis	6/57	1.53529401374069e-11	1.184369667742818e-10	0	0	167.47058823529412	4169.969770624091	IL6;IL1B;IL12B;TNF;TLR4;NFKB1
KEGG_2021_Human	Pertussis	6/76	9.144663748368061e-11	6.584157898825004e-10	0	0	121.89795918367346	2817.7036917396945	IL6;IL1B;IL12B;TNF;TLR4;NFKB1
