Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	13/100	6.058255993129944e-23	1.0480782868114803e-20	0	0	174.76605814739688	8940.68814924669	TGFB1;VCAM1;TNF;AGER;NFKB1;VEGFA;ICAM1;IL6;PIK3CA;IL1B;NOX4;AKT1;CCL2
KEGG_2021_Human	Lipid and atherosclerosis	12/215	1.275417623203836e-16	1.103236244071318e-14	0	0	64.91625615763547	2375.8108434986584	IL6;VCAM1;PIK3CA;IL1B;AKT1;CCL2;TLR4;TNF;AGER;NFKB1;ATF4;ICAM1
KEGG_2021_Human	TNF signaling pathway	10/112	5.49970379611119e-16	3.1714958557574526e-14	0	0	97.3921568627451	3422.035808676807	IL6;VCAM1;PIK3CA;IL1B;AKT1;CCL2;TNF;NFKB1;ATF4;ICAM1
KEGG_2021_Human	Malaria	8/50	4.753890070213178e-15	1.747543618391975e-13	0	0	172.53679653679654	5690.231311262502	IL6;TGFB1;VCAM1;IL1B;CCL2;TLR4;TNF;ICAM1
KEGG_2021_Human	Fluid shear stress and atherosclerosis	10/139	5.050704099398771e-15	1.747543618391975e-13	0	0	76.90310077519379	2531.5923029666496	VCAM1;PIK3CA;IL1B;KDR;AKT1;CCL2;TNF;NFKB1;VEGFA;ICAM1
KEGG_2021_Human	Chagas disease	9/102	2.1294619160840012e-14	6.13994852470887e-13	0	0	91.59907834101382	2883.5684788493977	IL6;TGFB1;PIK3CA;IL1B;AKT1;CCL2;TLR4;TNF;NFKB1
KEGG_2021_Human	MAPK signaling pathway	11/294	2.448749314554569e-13	6.051909020256291e-12	0	0	40.274688488004465	1169.4975641678063	TGFB1;IL1B;KDR;AKT1;TNF;NFKB1;PGF;VEGFA;ATF4;INS;FGF21
KEGG_2021_Human	Rheumatoid arthritis	8/93	8.646674631943249e-13	1.869843389157727e-11	0	0	85.06951871657753	2362.927650649921	IL6;TGFB1;IL1B;CCL2;TLR4;TNF;VEGFA;ICAM1
KEGG_2021_Human	Non-alcoholic fatty liver disease	9/155	9.931058651532812e-13	1.9089701630168622e-11	0	0	58.19178082191781	1608.300895938187	IL6;TGFB1;PIK3CA;IL1B;AKT1;TNF;NFKB1;ATF4;INS
KEGG_2021_Human	PI3K-Akt signaling pathway	11/354	1.8503755858830924e-12	3.20114976357775e-11	0	0	33.12827988338192	894.9814339593468	IL6;PIK3CA;KDR;AKT1;TLR4;NFKB1;PGF;VEGFA;ATF4;INS;FGF21
KEGG_2021_Human	Influenza A	9/172	2.553200439839098e-12	4.015487964474217e-11	0	0	52.07800175284838	1390.1531737220355	IL6;PIK3CA;IL1B;AKT1;CCL2;TLR4;TNF;NFKB1;ICAM1
KEGG_2021_Human	HIF-1 signaling pathway	8/109	3.1753937618496188e-12	4.5778593399998673e-11	0	0	71.53555355535553	1893.9459485690893	IL6;PIK3CA;AKT1;TLR4;HIF1A;NFKB1;VEGFA;INS
KEGG_2021_Human	Yersinia infection	8/137	2.0324049279452535e-11	2.7046619425732985e-10	0	0	55.92952783650458	1376.9411398685954	IL6;PIK3CA;IL1B;AKT1;CCL2;TLR4;TNF;NFKB1
KEGG_2021_Human	Human cytomegalovirus infection	9/225	2.8650513408925775e-11	3.5403848712458277e-10	0	0	39.19444444444444	951.4784444815645	IL6;PIK3CA;IL1B;AKT1;CCL2;TNF;NFKB1;VEGFA;ATF4
KEGG_2021_Human	Hepatitis B	8/162	7.832163329093042e-11	9.033095039553975e-10	0	0	46.79102715466352	1088.8364320672565	IL6;TGFB1;PIK3CA;AKT1;TLR4;TNF;NFKB1;ATF4
KEGG_2021_Human	Alzheimer disease	10/369	8.756450536280085e-11	9.467912142352843e-10	0	0	27.313370473537603	632.540661202905	IL6;PIK3CA;IL1B;NOX4;AKT1;TNF;AGER;NFKB1;ATF4;INS
KEGG_2021_Human	Amoebiasis	7/102	1.3461470935319205e-10	1.3699026304766011e-09	0	0	63.672768878718536	1447.1931763435773	IL6;TGFB1;PIK3CA;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Toll-like receptor signaling pathway	7/104	1.5454119615762848e-10	1.485312607514985e-09	0	0	62.35365307037203	1408.6039666784584	IL6;PIK3CA;IL1B;AKT1;TLR4;TNF;NFKB1
KEGG_2021_Human	Proteoglycans in cancer	8/205	5.124165693697694e-10	4.493671383405159e-09	0	0	36.498384863867095	780.7691863483948	TGFB1;PIK3CA;KDR;AKT1;TLR4;TNF;HIF1A;VEGFA
KEGG_2021_Human	Inflammatory bowel disease	6/65	5.194995818965501e-10	4.493671383405159e-09	0	0	84.36864406779661	1803.6459593193324	IL6;TGFB1;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	8/219	8.650552655375933e-10	7.126407663714459e-09	0	0	34.05256355019388	710.6166506234819	IL6;TGFB1;PIK3CA;AKT1;TNF;NFKB1;ATF4;ICAM1
KEGG_2021_Human	Ras signaling pathway	8/232	1.3646346629268712e-09	1.0730990758470395e-08	0	0	32.0551948051948	654.3227881783513	PIK3CA;KDR;AKT1;NFKB1;PGF;VEGFA;INS;FGF21
KEGG_2021_Human	African trypanosomiasis	5/37	2.2536809390031312e-09	1.6951600106414854e-08	0	0	124.6125	2481.1222264416892	IL6;VCAM1;IL1B;TNF;ICAM1
KEGG_2021_Human	Tuberculosis	7/180	7.2723513276025e-09	5.2421532486468016e-08	0	0	34.82759487308369	652.640784140407	IL6;TGFB1;IL1B;AKT1;TLR4;TNF;NFKB1
KEGG_2021_Human	Longevity regulating pathway	6/102	8.152411672329653e-09	5.64146887725212e-08	0	0	51.755208333333336	963.9382731709352	PIK3CA;AKT1;SIRT1;NFKB1;ATF4;INS
KEGG_2021_Human	C-type lectin receptor signaling pathway	6/104	9.16777009711787e-09	5.8741638029681174e-08	0	0	50.69387755102041	938.2205762617364	IL6;PIK3CA;IL1B;AKT1;TNF;NFKB1
KEGG_2021_Human	NF-kappa B signaling pathway	6/104	9.16777009711787e-09	5.8741638029681174e-08	0	0	50.69387755102041	938.2205762617364	VCAM1;IL1B;TLR4;TNF;NFKB1;ICAM1
KEGG_2021_Human	Insulin resistance	6/108	1.1513813767557773e-08	7.032340948623795e-08	0	0	48.69607843137255	890.1505972701809	IL6;PIK3CA;AKT1;TNF;NFKB1;INS
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	7/193	1.1788317197115034e-08	7.032340948623795e-08	0	0	32.37213651238897	590.9908021916027	IL6;PIK3CA;AKT1;HIF1A;NFKB1;VEGFA;ICAM1
KEGG_2021_Human	Rap1 signaling pathway	7/210	2.1111722229472728e-08	1.1832175912184014e-07	0	0	29.635682158920535	523.7643732887403	PIK3CA;KDR;AKT1;PGF;VEGFA;INS;FGF21
KEGG_2021_Human	Legionellosis	5/57	2.1202164929347073e-08	1.1832175912184014e-07	0	0	76.6076923076923	1353.5937672888176	IL6;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Osteoclast differentiation	6/127	3.0500638126720146e-08	1.6489407487258078e-07	0	0	41.010330578512395	709.7050235007258	TGFB1;PIK3CA;IL1B;AKT1;TNF;NFKB1
KEGG_2021_Human	Relaxin signaling pathway	6/129	3.34925182683862e-08	1.7558198971002466e-07	0	0	40.33943089430894	694.3200157959045	TGFB1;PIK3CA;AKT1;NFKB1;VEGFA;ATF4
KEGG_2021_Human	FoxO signaling pathway	6/131	3.6722719831231075e-08	1.86853839141264e-07	0	0	39.69	679.4876484149839	IL6;TGFB1;PIK3CA;AKT1;SIRT1;INS
KEGG_2021_Human	Coronavirus disease	7/232	4.187262067903043e-08	2.069703822134933e-07	0	0	26.708212560386475	453.7360391160355	IL6;PIK3CA;IL1B;CCL2;TLR4;TNF;NFKB1
KEGG_2021_Human	Measles	6/139	5.233039362460508e-08	2.4926260164143773e-07	0	0	37.287593984962406	625.1521854658286	IL6;PIK3CA;IL1B;AKT1;TLR4;NFKB1
KEGG_2021_Human	Pathways in cancer	9/531	5.3310498616954895e-08	2.4926260164143773e-07	0	0	15.967159277504106	267.4041329151542	IL6;TGFB1;PIK3CA;AKT1;HIF1A;NFKB1;PGF;VEGFA;FGF21
KEGG_2021_Human	Renal cell carcinoma	5/69	5.6201138452350295e-08	2.5586307769096316e-07	0	0	62.20625	1038.491592351509	TGFB1;PIK3CA;AKT1;HIF1A;VEGFA
KEGG_2021_Human	Salmonella infection	7/249	6.794570985613038e-08	3.014002001310399e-07	0	0	24.810636004311892	409.4885520485804	IL6;PIK3CA;IL1B;AKT1;TLR4;TNF;NFKB1
KEGG_2021_Human	Pancreatic cancer	5/76	9.17166890581546e-08	3.869996879770914e-07	0	0	56.053521126760565	908.3227291553476	TGFB1;PIK3CA;AKT1;NFKB1;VEGFA
KEGG_2021_Human	Pertussis	5/76	9.17166890581546e-08	3.869996879770914e-07	0	0	56.053521126760565	908.3227291553476	IL6;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Leishmaniasis	5/77	9.798371169326721e-08	4.035995743556006e-07	0	0	55.272222222222226	892.0088005526063	TGFB1;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Cellular senescence	6/156	1.0399968699738884e-07	4.184173453615877e-07	0	0	33.03333333333333	531.1389348641003	IL6;TGFB1;PIK3CA;AKT1;SIRT1;NFKB1
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	2.032869649156419e-07	7.992873847819556e-07	0	0	47.34761904761905	729.5627593622233	PIK3CA;AKT1;TLR4;HIF1A;NFKB1
KEGG_2021_Human	NOD-like receptor signaling pathway	6/181	2.506354182273163e-07	9.63553941185016e-07	0	0	28.27857142857143	429.813542555355	IL6;IL1B;CCL2;TLR4;TNF;NFKB1
KEGG_2021_Human	IL-17 signaling pathway	5/94	2.67435039399625e-07	1.0057883003507634e-06	0	0	44.67640449438202	676.1500911489362	IL6;IL1B;CCL2;TNF;NFKB1
KEGG_2021_Human	Prostate cancer	5/97	3.130072216602471e-07	1.1521329648345266e-06	0	0	43.21304347826087	647.2034622987994	PIK3CA;AKT1;NFKB1;ATF4;INS
KEGG_2021_Human	Neutrophil extracellular trap formation	6/189	3.233756009309263e-07	1.1654995616885468e-06	0	0	27.031420765027324	403.9697522235261	PIK3CA;AKT1;HMGB1;TLR4;AGER;NFKB1
KEGG_2021_Human	Pathways of neurodegeneration	8/475	3.527864992272458e-07	1.2455523340063984e-06	0	0	15.18629550321199	225.6289090431545	PRKN;IL6;IL1B;NOX4;TNF;AGER;NFKB1;ATF4
KEGG_2021_Human	Epstein-Barr virus infection	6/202	4.780484861546371e-07	1.6540477620950443e-06	0	0	25.221938775510203	367.068839734989	IL6;PIK3CA;AKT1;TNF;NFKB1;ICAM1
KEGG_2021_Human	Diabetic cardiomyopathy	6/203	4.920995359489281e-07	1.6692788180228344e-06	0	0	25.09263959390863	364.4601724424473	TGFB1;PIK3CA;AKT1;AGER;NFKB1;INS
KEGG_2021_Human	Th17 cell differentiation	5/107	5.109713367799578e-07	1.6999623319794753e-06	0	0	38.95686274509803	564.3662139323254	IL6;TGFB1;IL1B;HIF1A;NFKB1
KEGG_2021_Human	Toxoplasmosis	5/112	6.414541976547399e-07	2.093803324420189e-06	0	0	37.12710280373832	529.414964003421	TGFB1;AKT1;TLR4;TNF;NFKB1
KEGG_2021_Human	Shigellosis	6/246	1.510366794130704e-06	4.838767692307626e-06	0	0	20.552083333333332	275.46282069282637	PIK3CA;IL1B;AKT1;TLR4;TNF;NFKB1
KEGG_2021_Human	Autophagy	5/137	1.7402100678900754e-06	5.459414517178099e-06	0	0	30.05757575757576	398.60868288161646	PIK3CA;AKT1;HMGB1;HIF1A;INS
KEGG_2021_Human	VEGF signaling pathway	4/59	1.7672093234796155e-06	5.459414517178099e-06	0	0	55.70629370629371	737.8916333506329	PIK3CA;KDR;AKT1;VEGFA
KEGG_2021_Human	Apoptosis	5/142	2.0764183258295303e-06	6.302111760851031e-06	0	0	28.953284671532845	378.84985329244694	PIK3CA;AKT1;TNF;NFKB1;ATF4
KEGG_2021_Human	Prolactin signaling pathway	4/70	3.519721717082364e-06	1.0498480294056015e-05	0	0	46.3962703962704	582.6039352777034	PIK3CA;AKT1;NFKB1;INS
KEGG_2021_Human	Chronic myeloid leukemia	4/76	4.894372873939752e-06	1.435129673206063e-05	0	0	42.51709401709402	519.874553049576	TGFB1;PIK3CA;AKT1;NFKB1
KEGG_2021_Human	Herpes simplex virus 1 infection	7/498	7.045858648091241e-06	2.031555910199641e-05	0	0	12.074116709466042	143.2360982270933	IL6;PIK3CA;IL1B;AKT1;CCL2;TNF;NFKB1
KEGG_2021_Human	Pathogenic Escherichia coli infection	5/197	1.0279182843572329e-05	2.915243658914775e-05	0	0	20.602083333333333	236.6229575904433	IL6;IL1B;TLR4;TNF;NFKB1
KEGG_2021_Human	Focal adhesion	5/201	1.133022219889072e-05	3.161497484529185e-05	0	0	20.177551020408163	229.78269499827368	PIK3CA;KDR;AKT1;PGF;VEGFA
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	1.465831442122817e-05	4.025219674400751e-05	0	0	19.094685990338164	212.53345676283777	PIK3CA;AKT1;TLR4;TNF;NFKB1
