Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Antigen processing and presentation	2/78	0.003939415117888246	0.147774741959425	26.289473684210527	-34.099339569929285	HSP90AA1;HSPA4
KEGG_2021_Human	Prostate cancer	2/97	0.006031622120792857	0.147774741959425	20.981578947368423	-27.909669646620806	HSP90AA1;PTEN
KEGG_2021_Human	Necroptosis	2/159	0.015618487202540639	0.15306117458489826	12.597133757961783	-17.083187709957596	DNM1L;HSP90AA1
KEGG_2021_Human	Cellular senescence	2/156	0.015062699357834773	0.15306117458489826	12.847402597402597	-17.429441058365175	PTEN;SIRT1
KEGG_2021_Human	FoxO signaling pathway	2/131	0.010785539693571716	0.15306117458489826	15.385658914728682	-20.853034219946885	PTEN;SIRT1
KEGG_2021_Human	NOD-like receptor signaling pathway	2/181	0.019962543247368986	0.16302743652018006	11.018156424581006	-14.859767863470836	DNM1L;HSP90AA1
KEGG_2021_Human	Lipid and atherosclerosis	2/215	0.027564399546120597	0.1929507968228442	9.219483568075118	-12.240131856521	HSP90AA1;HSPA4
KEGG_2021_Human	AMPK signaling pathway	1/120	0.13907692219429554	0.20650815719759036	7.4220354808590105	-4.393179099544486	SIRT1
KEGG_2021_Human	IL-17 signaling pathway	1/94	0.11051569770952978	0.20650815719759036	9.528076463560334	-5.7422174156532195	HSP90AA1
KEGG_2021_Human	Central carbon metabolism in cancer	1/70	0.08339759626885078	0.20650815719759036	12.880837359098228	-7.74542097629872	PTEN
KEGG_2021_Human	Inositol phosphate metabolism	1/73	0.0868275630671275	0.20650815719759036	12.339506172839506	-7.43259286356604	PTEN
KEGG_2021_Human	Endometrial cancer	1/58	0.06956147443988561	0.20650815719759036	15.61598440545809	-9.271975415581295	PTEN
KEGG_2021_Human	p53 signaling pathway	1/73	0.0868275630671275	0.20650815719759036	12.339506172839506	-7.43259286356604	PTEN
KEGG_2021_Human	Cytosolic DNA-sensing pathway	1/63	0.0753492056247738	0.20650815719759036	14.347670250896057	-8.574814690072902	POLR3A
KEGG_2021_Human	Insulin resistance	1/108	0.12599902727061665	0.20650815719759036	8.2668743509865	-4.943743954376122	PTEN
KEGG_2021_Human	Human papillomavirus infection	2/331	0.06060431633754296	0.20650815719759036	5.880699088145897	-7.115618067766183	PTEN;UBE3A
KEGG_2021_Human	Glucagon signaling pathway	1/107	0.1249011740201087	0.20650815719759036	8.345911949685535	-4.994589105830365	SIRT1
KEGG_2021_Human	Glioma	1/75	0.0891077855134448	0.20650815719759036	12.003003003003004	-7.236197160831004	PTEN
KEGG_2021_Human	Pathways in cancer	2/531	0.13679480156092927	0.20650815719759036	3.5628544423440456	-3.410136075895621	HSP90AA1;PTEN
KEGG_2021_Human	Amphetamine addiction	1/69	0.08225170002715665	0.20650815719759036	13.071895424836601	-7.854937277937848	SIRT1
KEGG_2021_Human	TNF signaling pathway	1/112	0.13037805537365837	0.20650815719759036	7.964964964964965	-4.748494648054986	DNM1L
KEGG_2021_Human	Sphingolipid signaling pathway	1/119	0.13799386385009413	0.20650815719759036	7.4858757062146895	-4.435243302362896	PTEN
KEGG_2021_Human	Small cell lung cancer	1/92	0.10828375753966943	0.20650815719759036	9.739926739926739	-5.8737398650795125	PTEN
KEGG_2021_Human	RNA polymerase	1/31	0.03774052193970927	0.20650815719759036	29.77037037037037	-16.126223630092912	POLR3A
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.11718138394436346	0.20650815719759036	8.94388327721661	-5.375723879218761	HSP90AA1
KEGG_2021_Human	Longevity regulating pathway	1/102	0.11939326812281527	0.20650815719759036	8.764576457645765	-5.262086311101535	SIRT1
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	0.11385418156418702	0.20650815719759036	9.226851851851851	-5.553951626329874	PTEN
KEGG_2021_Human	PI3K-Akt signaling pathway	2/354	0.06828569708469599	0.20650815719759036	5.480113636363637	-6.479364551821025	HSP90AA1;PTEN
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.10492639565254669	0.20650815719759036	10.075757575757576	-6.080768259179883	PTEN
KEGG_2021_Human	Nicotinate and nicotinamide metabolism	1/35	0.0425156978752584	0.20650815719759036	26.254901960784313	-14.553318652418731	SIRT1
KEGG_2021_Human	MicroRNAs in cancer	2/310	0.0538910819803677	0.20650815719759036	6.298701298701299	-7.775300015246377	PTEN;SIRT1
KEGG_2021_Human	Melanoma	1/72	0.0856855265026792	0.20650815719759036	12.514866979655713	-7.534346814915346	PTEN
KEGG_2021_Human	Th17 cell differentiation	1/107	0.1249011740201087	0.20650815719759036	8.345911949685535	-4.994589105830365	HSP90AA1
KEGG_2021_Human	Autophagy	1/137	0.15730251033809037	0.21221992013041638	6.480392156862745	-3.763669230249352	PTEN
KEGG_2021_Human	Breast cancer	1/147	0.16786050842791683	0.21221992013041638	6.0289193302891935	-3.455697502915966	PTEN
KEGG_2021_Human	Cell adhesion molecules	1/148	0.16890973234869874	0.21221992013041638	5.987150415721844	-3.427000500776257	NFASC
KEGG_2021_Human	Estrogen signaling pathway	1/137	0.15730251033809037	0.21221992013041638	6.480392156862745	-3.763669230249352	HSP90AA1
KEGG_2021_Human	Fluid shear stress and atherosclerosis	1/139	0.15942370386618251	0.21221992013041638	6.384863123993559	-3.698840756963446	HSP90AA1
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	0.16048249753809815	0.21221992013041638	6.338129496402877	-3.6670604531534	UBE3A
KEGG_2021_Human	mTOR signaling pathway	1/154	0.17518011116339122	0.21459563617515423	5.74800290486565	-3.2620286219941206	PTEN
KEGG_2021_Human	Hepatocellular carcinoma	1/168	0.18964573513289215	0.21960619811234897	5.256819693945443	-2.919648521708157	PTEN
KEGG_2021_Human	Tight junction	1/169	0.19067020323006928	0.21960619811234897	5.224867724867725	-2.8972129419331236	HSPA4
KEGG_2021_Human	Protein processing in endoplasmic reticulum	1/171	0.19271564324144907	0.21960619811234897	5.162091503267974	-2.8530763101358976	HSP90AA1
KEGG_2021_Human	Viral carcinogenesis	1/203	0.22481613944093093	0.23947806157838294	4.326732673267327	-2.2588473265567357	UBE3A
KEGG_2021_Human	Focal adhesion	1/201	0.22284403856827387	0.23947806157838294	4.371111111111111	-2.2907190203417165	PTEN
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	0.22481613944093093	0.23947806157838294	4.326732673267327	-2.2588473265567357	PTEN
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	1/219	0.24043153000367978	0.2506626589400066	4.001019367991845	-2.0240281738454993	PTEN
