Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oxidative phosphorylation	6/133	3.540482493634086e-09	5.310723740451129e-08	93.79133858267717	-281.92849509829296	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Non-alcoholic fatty liver disease	6/155	8.932289884223915e-09	6.699217413167936e-08	79.72147651006712	-248.12445725644798	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Cardiac muscle contraction	5/87	3.117164046083845e-08	1.5585820230419225e-07	97.39024390243902	-259.15315927758695	COX4I1;COX5A;COX6C;COX7A1;COX7B
KEGG_2021_Human	Diabetic cardiomyopathy	6/203	4.519476254422347e-08	1.69480359540838e-07	59.931472081218274	-196.51143307754222	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Thermogenesis	6/232	1.0038183269047773e-07	3.011454980714332e-07	52.04867256637168	-174.3857646205266	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Parkinson disease	6/249	1.5298853524997396e-07	3.8247133812493486e-07	48.30246913580247	-163.50255926584217	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Prion disease	6/273	2.643799971048003e-07	5.66528565224572e-07	43.825842696629216	-150.15337941226585	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Huntington disease	6/306	5.199039191434657e-07	9.748198483939982e-07	38.84	-134.80275528914737	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Alzheimer disease	6/369	1.5682273213710148e-06	2.3523409820565222e-06	31.83884297520661	-112.27416206333918	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Amyotrophic lateral sclerosis	6/364	1.4473410057409635e-06	2.3523409820565222e-06	32.30446927374302	-113.81114699720544	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Pathways of neurodegeneration	6/475	6.87051002186806e-06	9.368877302547355e-06	24.303837953091683	-86.53290657231904	COX4I1;COX5A;COX6C;COX7A1;COX7B;NDUFB11
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	1/43	0.052002121863896134	0.06500265232987017	21.232804232804234	-12.171283962486152	HCCS
KEGG_2021_Human	Apoptosis	1/142	0.16259648475288416	0.16890973234869874	6.2466509062253746	-3.6047270952512624	DIABLO
KEGG_2021_Human	Retrograde endocannabinoid signaling	1/148	0.16890973234869874	0.16890973234869874	5.987150415721844	-3.427000500776257	NDUFB11
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	0.16048249753809815	0.16890973234869874	6.338129496402877	-3.6670604531534	MID1
