Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Maturity onset diabetes of the young	6/26	1.2445250301971435e-13	4.604742611729431e-12	603.6	-767.5645053736929	GCK;HNF1A;HNF1B;HNF4A;INS;PDX1
KEGG_2021_Human	Type II diabetes mellitus	3/46	2.0169469389613572e-05	0.0003731351837078511	79.98338870431894	-133.7928596153214	GCK;INS;PDX1
KEGG_2021_Human	Insulin secretion	3/86	0.0001324740846980751	0.0016338470446095928	41.230636833046475	-79.65388581050792	GCK;INS;PDX1
KEGG_2021_Human	Prolactin signaling pathway	2/70	0.0031848593502604382	0.02945994898990905	29.41176470588235	-37.553176952571945	GCK;INS
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	1/5	0.006175870614119984	0.04570144254448788	224.0	-64.31580621155372	GCK
KEGG_2021_Human	AMPK signaling pathway	2/120	0.009109920890125906	0.05617784548910975	16.843220338983052	-22.75171510512794	HNF4A;INS
KEGG_2021_Human	Insulin signaling pathway	2/137	0.011753397776716717	0.06212510253407408	14.690740740740742	-19.931093924152265	GCK;INS
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.04489527895199197	0.16611253212237026	24.790123456790123	-13.876145105511855	INS
KEGG_2021_Human	Starch and sucrose metabolism	1/36	0.043706154548296745	0.16611253212237026	25.501587301587303	-14.206754592243437	GCK
KEGG_2021_Human	Galactose metabolism	1/31	0.03774052193970927	0.16611253212237026	29.77037037037037	-16.126223630092912	GCK
KEGG_2021_Human	Ovarian steroidogenesis	1/51	0.0614038724928517	0.17462204343984533	17.817777777777778	-10.44262436810124	INS
KEGG_2021_Human	Regulation of lipolysis in adipocytes	1/55	0.06607320562588742	0.17462204343984533	16.48971193415638	-9.74227359341278	INS
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	1/48	0.05788809587819119	0.17462204343984533	18.962174940898347	-11.032973182262484	GCK
KEGG_2021_Human	Type I diabetes mellitus	1/43	0.052002121863896134	0.17462204343984533	21.232804232804234	-12.171283962486152	INS
KEGG_2021_Human	Central carbon metabolism in cancer	1/70	0.08339759626885078	0.1928569413717174	12.880837359098228	-7.74542097629872	GCK
KEGG_2021_Human	Glycolysis / Gluconeogenesis	1/67	0.07995603885498047	0.1928569413717174	13.47138047138047	-8.082458738692866	GCK
KEGG_2021_Human	Glucagon signaling pathway	1/107	0.1249011740201087	0.2137517595057717	8.345911949685535	-4.994589105830365	GCK
KEGG_2021_Human	Longevity regulating pathway	1/102	0.11939326812281527	0.2137517595057717	8.764576457645765	-5.262086311101535	INS
KEGG_2021_Human	HIF-1 signaling pathway	1/109	0.1270956407872156	0.2137517595057717	8.189300411522634	-4.893732148578802	INS
KEGG_2021_Human	Insulin resistance	1/108	0.12599902727061665	0.2137517595057717	8.2668743509865	-4.943743954376122	INS
KEGG_2021_Human	Prostate cancer	1/97	0.11385418156418702	0.2137517595057717	9.226851851851851	-5.553951626329874	INS
KEGG_2021_Human	Progesterone-mediated oocyte maturation	1/100	0.11718138394436346	0.2137517595057717	8.94388327721661	-5.375723879218761	INS
KEGG_2021_Human	FoxO signaling pathway	1/131	0.1509099928727911	0.23265290567888627	6.7846153846153845	-3.968927686510734	INS
KEGG_2021_Human	Oocyte meiosis	1/129	0.1487694756391342	0.23265290567888627	6.892361111111111	-4.041189892105298	INS
KEGG_2021_Human	Autophagy	1/137	0.15730251033809037	0.23280771530037375	6.480392156862745	-3.763669230249352	INS
KEGG_2021_Human	mTOR signaling pathway	1/154	0.17518011116339122	0.23286349692904873	5.74800290486565	-3.2620286219941206	INS
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	0.17622102470306392	0.23286349692904873	5.70995670995671	-3.235678410841787	INS
KEGG_2021_Human	Phospholipase D signaling pathway	1/148	0.16890973234869874	0.23286349692904873	5.987150415721844	-3.427000500776257	INS
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	0.1886201000678787	0.2406532311210866	5.289156626506024	-2.942334294710352	INS
KEGG_2021_Human	Rap1 signaling pathway	1/210	0.23168307497366095	0.276524960452434	4.178096757044125	-2.1518791496475385	INS
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	0.22481613944093093	0.276524960452434	4.326732673267327	-2.2588473265567357	INS
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	0.2394639268571876	0.27688016542862315	4.019969278033794	-2.037730229066884	INS
KEGG_2021_Human	Ras signaling pathway	1/232	0.25290994493508406	0.28356569583630636	3.7696007696007694	-1.8563524399324505	INS
KEGG_2021_Human	MAPK signaling pathway	1/294	0.3099217585428667	0.33726779606135493	2.9484262419416005	-1.2588658824557653	INS
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	0.36133488698431165	0.3819825948119866	2.4283915643689014	-0.883914601009246	INS
KEGG_2021_Human	Alzheimer disease	1/369	0.3736370340305108	0.3840158405313583	2.32487922705314	-0.8103995559567543	INS
KEGG_2021_Human	Herpes simplex virus 1 infection	1/498	0.4709527127104428	0.4709527127104428	1.6926000447127207	-0.379898711570649	ZNF808
