Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Citrate cycle (TCA cycle)	2/30	0.0005890383323778795	0.011191728315179712	71.78571428571429	-75.93290601172647	SDHB;SDHD
KEGG_2021_Human	Prion disease	3/273	0.0038397781028777236	0.036477891977338375	12.377777777777778	-25.926933584065353	NCAM1;SDHB;SDHD
KEGG_2021_Human	Oxidative phosphorylation	2/133	0.011103972768351109	0.07032516086622369	15.146946564885496	-20.537590301958808	SDHB;SDHD
KEGG_2021_Human	Non-alcoholic fatty liver disease	2/155	0.014879426053803059	0.07067727375556453	12.933006535947712	-17.54750234216727	SDHB;SDHD
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.024762333575826773	0.09409686758814174	9.784825870646767	-13.073912909097736	SDHB;SDHD
KEGG_2021_Human	Thermogenesis	2/232	0.03174764714886429	0.0981822968331545	8.519565217391305	-11.194266119915625	SDHB;SDHD
KEGG_2021_Human	Parkinson disease	2/249	0.03617242514905692	0.0981822968331545	7.915991902834008	-10.280113155611538	SDHB;SDHD
KEGG_2021_Human	Huntington disease	2/306	0.05264626136655815	0.12503487074557562	6.384868421052632	-7.910702811009382	SDHB;SDHD
KEGG_2021_Human	Alzheimer disease	2/369	0.07347088540357372	0.13959468226679006	5.2459128065395095	-6.1057863985118	SDHB;SDHD
KEGG_2021_Human	Amyotrophic lateral sclerosis	2/364	0.07172754804182349	0.13959468226679006	5.321823204419889	-6.226988268408014	SDHB;SDHD
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.11162978125448282	0.1438526936313783	9.425531914893616	-5.678293992521663	KRT20
KEGG_2021_Human	Hypertrophic cardiomyopathy	1/90	0.10604677818396174	0.1438526936313783	9.961298377028713	-6.010407578745034	DES
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	0.09138288226635771	0.1438526936313783	11.68421052631579	-7.04872976578505	DES
KEGG_2021_Human	Pathways of neurodegeneration	2/475	0.11356791602477233	0.1438526936313783	4.014270613107822	-4.131104230952899	SDHB;SDHD
KEGG_2021_Human	Dilated cardiomyopathy	1/96	0.11274260878642009	0.1438526936313783	9.32514619883041	-5.615549699272252	DES
KEGG_2021_Human	Estrogen signaling pathway	1/137	0.15730251033809037	0.1867967310264823	6.480392156862745	-3.763669230249352	KRT20
KEGG_2021_Human	Cell adhesion molecules	1/148	0.16890973234869874	0.1887814655661927	5.987150415721844	-3.427000500776257	NCAM1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	1/171	0.19271564324144907	0.20342206786597403	5.162091503267974	-2.8530763101358976	PLAA
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	0.310808292768788	0.310808292768788	2.9380196523053668	-1.2513063817932166	TNFRSF8
