PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
28053874	PMC5198737	22	3	{'27034': ('ACAD8', 12, 9606.0), '35': ('ACADS', 9, 9606.0), '34': ('ACADM', 1, 9606.0)}	10
30612563	PMC6322297	69	13	{'5053': ('PAH', 31, 9606.0), '5805': ('PTS', 7, 9606.0), '2643': ('GCH1', 2, 9606.0), '5092': ('PCBD1', 2, 9606.0), '5860': ('QDPR', 2, 9606.0), '1757': ('SARDH', 4, 9606.0), '25974': ('MMACHC', 3, 9606.0), '2110': ('ETFDH', 3, 9606.0), '5009': ('OTC', 11, 9606.0), '5091': ('PC', 1, 9606.0), '593': ('BCKDHA', 1, 9606.0), '594': ('BCKDHB', 1, 9606.0), '1629': ('DBT', 1, 9606.0)}	25
31737040	PMC6828960	188	34	{'5053': ('PAH', 18, 9606.0), '6584': ('SLC22A5', 6, 9606.0), '35': ('ACADS', 8, 9606.0), '4143': ('MAT1A', 12, 9606.0), '56922': ('MCCC1', 12, 9606.0), '10165': ('SLC25A13', 38, 9606.0), '5805': ('PTS', 10, 9606.0), '27034': ('ACAD8', 13, 9606.0), '788': ('SLC25A20', 2, 9606.0), '4582': ('MUC1', 2, 9606.0), '4594': ('MMUT', 8, 9606.0), '5009': ('OTC', 4, 9606.0), '64087': ('MCCC2', 6, 9606.0), '25974': ('MMACHC', 7, 9606.0), '23417': ('MLYCD', 2, 9606.0), '1629': ('DBT', 2, 9606.0), '36': ('ACADSB', 1, 9606.0), '435': ('ASL', 2, 9606.0), '445': ('ASS1', 15, 9606.0), '875': ('CBS', 1, 9606.0), '166785': ('MMAA', 1, 9606.0), '326625': ('MMAB', 1, 9606.0), '51293': ('CD320', 1, 9606.0), '27249': ('MMADHC', 2, 9606.0), '55788': ('LMBRD1', 1, 9606.0), '3054': ('HCFC1', 1, 9606.0), '5826': ('ABCD4', 1, 9606.0), '84693': ('MCEE', 1, 9606.0), '8803': ('SUCLA2', 1, 9606.0), '23624': ('CBLC', 5, 9606.0), '2643': ('GCH1', 1, 9606.0), '5092': ('PCBD1', 1, 9606.0), '5860': ('QDPR', 1, 9606.0), '3990': ('LIPC', 1, 9606.0)}	1
33432785	PMC8077115	25	2	{'27034': ('ACAD8', 24, 9606.0), '26291': ('FGF21', 1, 9606.0)}	5
34544473	PMC8454130	42	10	{'27034': ('ACAD8', 28, 9606.0), '4297': ('KMT2A', 6, 9606.0), '35': ('ACADS', 1, 9606.0), '23474': ('ETHE1', 1, 9606.0), '2108': ('ETFA', 1, 9606.0), '2109': ('ETFB', 1, 9606.0), '2110': ('ETFDH', 1, 9606.0), '2678': ('GGT1', 1, 9606.0), '66948': ('Acad8', 1, 10090.0), '1763': ('DNA2', 1, 9606.0)}	3
34869113	PMC8639864	51	4	{'35': ('ACADS', 35, 9606.0), '27034': ('ACAD8', 12, 9606.0), '2108': ('ETFA', 3, 9606.0), '36': ('ACADSB', 1, 9606.0)}	24
34876202	PMC8650338	3	2	{'27034': ('ACAD8', 2, 9606.0), '1763': ('DNA2', 1, 9606.0)}	17
35154245	PMC8831754	42	6	{'27034': ('ACAD8', 28, 9606.0), '35': ('ACADS', 7, 9606.0), '36': ('ACADSB', 4, 9606.0), '65057': ('ACD', 1, 9606.0), '66948': ('Acad8', 1, 10090.0), '5053': ('PAH', 1, 9606.0)}	12
9889013	None	0	0	{}	7
12736383	None	0	0	{}	26
15505379	None	2	1	{'27034': ('ACAD8', 2, 9606.0)}	2
17304052	None	2	1	{'27034': ('ACAD8', 2, 9606.0)}	6
17924841	None	2	1	{'27034': ('ACAD8', 2, 9606.0)}	16
21659959	None	4	1	{'66948': ('Acad8', 4, 10090.0)}	27
22241096	None	0	0	{}	9
24635911	None	2	1	{'27034': ('ACAD8', 2, 9606.0)}	8
25111118	None	13	10	{'348': ('APOE', 2, 9606.0), '19': ('ABCA1', 2, 9606.0), '27034': ('ACAD8', 1, 9606.0), '36': ('ACADSB', 1, 9606.0), '549': ('AUH', 1, 9606.0), '1717': ('DHCR7', 2, 9606.0), '3158': ('HMGCS2', 1, 9606.0), '3028': ('HSD17B10', 1, 9606.0), '55033': ('FKBP14', 1, 9606.0), '79641': ('ROGDI', 1, 9606.0)}	20
25689098	None	0	0	{}	19
27727436	None	0	0	{}	11
30253142	None	4	1	{'27034': ('ACAD8', 4, 9606.0)}	0
30904546	None	0	0	{}	23
31813752	None	0	0	{}	13
34647701	None	4	1	{'27034': ('ACAD8', 4, 9606.0)}	4
36127580	None	0	0	{}	21
36662638	None	0	0	{}	22
37099696	None	0	0	{}	14
21290185	PMC4136412	0	0	{}	15
26458767	PMC5009370	0	0	{}	18
