PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
36942005	PMC10024037	20	6	{'5728': ('PTEN', 13, 9606.0), '2069': ('EREG', 1, 9606.0), '5241': ('PGR', 1, 9606.0), '2064': ('ERBB2', 1, 9606.0), '672': ('BRCA1', 3, 9606.0), '675': ('BRCA2', 1, 9606.0)}	307
36151877	PMC10087675	23	3	{'5728': ('PTEN', 19, 9606.0), '2475': ('MTOR', 3, 9606.0), '207': ('AKT1', 1, 9606.0)}	370
37041709	PMC10112363	23	4	{'5728': ('PTEN', 20, 9606.0), '5293': ('PIK3CD', 1, 9606.0), '207': ('AKT1', 1, 9606.0), '2475': ('MTOR', 1, 9606.0)}	296
37304316	PMC10250148	6	1	{'5728': ('PTEN', 6, 9606.0)}	281
37442961	PMC10339495	74	6	{'5728': ('PTEN', 66, 9606.0), '100144748': ('KLLN', 1, 9606.0), '207': ('AKT1', 2, 9606.0), '5290': ('PIK3CA', 1, 9606.0), '10483': ('SEC23B', 2, 9606.0), '11059': ('WWP1', 2, 9606.0)}	250
37249605	PMC10441134	12	1	{'5728': ('PTEN', 12, 9606.0)}	376
37692099	PMC10483120	135	20	{'11200': ('CHEK2', 14, 9606.0), '6469': ('SHH', 16, 9606.0), '5728': ('PTEN', 54, 9606.0), '675': ('BRCA2', 4, 9606.0), '79728': ('PALB2', 3, 9606.0), '5727': ('PTCH1', 6, 9606.0), '51684': ('SUFU', 4, 9606.0), '7157': ('TP53', 6, 9606.0), '324': ('APC', 3, 9606.0), '8643': ('PTCH2', 1, 9606.0), '23432': ('GPR161', 1, 9606.0), '6855': ('SYP', 1, 9606.0), '2549': ('GAB1', 1, 9606.0), '10413': ('YAP1', 1, 9606.0), '2316': ('FLNA', 1, 9606.0), '5293': ('PIK3CD', 5, 9606.0), '207': ('AKT1', 4, 9606.0), '2475': ('MTOR', 4, 9606.0), '19211': ('Pten', 1, 10090.0), '657': ('BMPR1A', 5, 9606.0)}	99
17411461	PMC1847830	36	10	{'2688': ('GH1', 9, 9606.0), '5728': ('PTEN', 4, 9606.0), '5573': ('PRKAR1A', 4, 9606.0), '4221': ('MEN1', 9, 9606.0), '354': ('KLK3', 1, 9606.0), '174': ('AFP', 1, 9606.0), '3479': ('IGF1', 2, 9606.0), '3486': ('IGFBP3', 1, 9606.0), '1257': ('CNC2', 1, 9606.0), '9049': ('AIP', 4, 9606.0)}	771
20926450	PMC3000677	382	16	{'5728': ('PTEN', 215, 9606.0), '595': ('CCND1', 11, 9606.0), '7157': ('TP53', 89, 9606.0), '6647': ('SOD1', 9, 9606.0), '207': ('AKT1', 11, 9606.0), '142': ('PARP1', 3, 9606.0), '581': ('BAX', 7, 9606.0), '4193': ('MDM2', 19, 9606.0), '5295': ('PIK3R1', 1, 9606.0), '3014': ('H2AX', 1, 9606.0), '94241': ('TP53INP1', 8, 9606.0), '2033': ('EP300', 2, 9606.0), '19211': ('Pten', 1, 10090.0), '1060': ('CENPC', 3, 9606.0), '10376': ('TUBA1B', 1, 9606.0), '2597': ('GAPDH', 1, 9606.0)}	909
21406108	PMC3065398	34	3	{'5728': ('PTEN', 28, 9606.0), '207': ('AKT1', 3, 9606.0), '5747': ('PTK2', 3, 9606.0)}	336
