PMID	PMCID	Num_Annotations	Num_Unique_Genes	Genes	ArticlePubmedRank
28740483	PMC5502255	83	13	{'54': ('ACP5', 15, 9606.0), '6696': ('SPP1', 2, 9606.0), '2688': ('GH1', 37, 9606.0), '3479': ('IGF1', 6, 9606.0), '5741': ('PTH', 1, 9606.0), '3429': ('IFI27', 3, 9606.0), '3434': ('IFIT1', 3, 9606.0), '91543': ('RSAD2', 3, 9606.0), '6614': ('SIGLEC1', 3, 9606.0), '9636': ('ISG15', 3, 9606.0), '10964': ('IFI44L', 3, 9606.0), '728378': ('POTEF', 2, 9606.0), '3439': ('IFNA1', 2, 9606.0)}	8
31413121	PMC6929920	44	7	{'6023': ('RMRP', 31, 9606.0), '10940': ('POP1', 2, 9606.0), '925': ('CD8A', 3, 9606.0), '930': ('CD19', 2, 9606.0), '920': ('CD4', 3, 9606.0), '973': ('CD79A', 2, 9606.0), '4951': ('OCM2', 1, 9606.0)}	2
33303724	PMC7748101	23	2	{'6023': ('RMRP', 16, 9606.0), '2688': ('GH1', 7, 9606.0)}	16
34557487	PMC8452955	67	25	{'2261': ('FGFR3', 4, 9606.0), '1280': ('COL2A1', 6, 9606.0), '1836': ('SLC26A2', 1, 9606.0), '176': ('ACAN', 1, 9606.0), '59341': ('TRPV4', 2, 9606.0), '1299': ('COL9A3', 1, 9606.0), '4041': ('LRP5', 2, 9606.0), '1277': ('COL1A1', 2, 9606.0), '387733': ('IFITM5', 4, 9606.0), '10491': ('CRTAP', 2, 9606.0), '60681': ('FKBP10', 1, 9606.0), '55151': ('TMEM38B', 1, 9606.0), '649': ('BMP1', 2, 9606.0), '5034': ('P4HB', 1, 9606.0), '2588': ('GALNS', 7, 9606.0), '5251': ('PHEX', 5, 9606.0), '1278': ('COL1A2', 4, 9606.0), '5358': ('PLS3', 2, 9606.0), '1300': ('COL10A1', 4, 9606.0), '142680': ('SLC34A3', 2, 9606.0), '7040': ('TGFB1', 3, 9606.0), '7042': ('TGFB2', 3, 9606.0), '23184': ('MESD', 2, 9606.0), '11014': ('KDELR2', 3, 9606.0), '79879': ('CCDC134', 2, 9606.0)}	17
154456	None	0	0	{}	14
726565	None	0	0	{}	23
1021127	None	0	0	{}	25
1974112	None	0	0	{}	27
7096116	None	0	0	{}	28
7607655	None	1	1	{'1300': ('COL10A1', 1, 9606.0)}	18
8669445	None	0	0	{}	20
9067753	None	4	1	{'1300': ('COL10A1', 4, 9606.0)}	22
11940090	None	3	1	{'6023': ('RMRP', 3, 9606.0)}	24
14252440	None	0	0	{}	29
14679588	None	0	0	{}	11
16470731	None	0	0	{}	12
18328979	None	0	0	{}	0
19326071	None	0	0	{}	26
23610867	None	0	0	{}	13
26821546	None	0	0	{}	1
31250547	None	15	3	{'25871': ('NEPRO', 8, 9606.0), '6023': ('RMRP', 5, 9606.0), '10940': ('POP1', 2, 9606.0)}	10
36097642	None	6	2	{'64841': ('GNPNAT1', 5, 9606.0), '5238': ('PGM3', 1, 9606.0)}	5
36150098	None	4	1	{'23233': ('EXOC6B', 4, 9606.0)}	7
36627376	None	2	2	{'2588': ('GALNS', 1, 9606.0), '2720': ('GLB1', 1, 9606.0)}	4
2277385	PMC1017260	0	0	{}	9
16252239	PMC1271388	3	1	{'6023': ('RMRP', 3, 9606.0)}	21
17701897	PMC1950841	4	1	{'6023': ('RMRP', 4, 9606.0)}	19
22420014	PMC2576743	0	0	{}	3
27493329	PMC4949819	0	0	{}	15
31413057	PMC6700560	1	1	{'4322': ('MMP13', 1, 9606.0)}	6
