Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Type II diabetes mellitus	2/46	0.0013867643520264008	0.06795145324929365	45.59090909090909	-53.767249912981214	INS;SLC2A4
KEGG_2021_Human	AMPK signaling pathway	2/120	0.009109920890125906	0.09598608184318652	16.843220338983052	-22.75171510512794	INS;SLC2A4
KEGG_2021_Human	Alzheimer disease	3/369	0.008924054845697141	0.09598608184318652	9.018735362997658	-18.187178129854335	APP;INS;MAPT
KEGG_2021_Human	FoxO signaling pathway	2/131	0.010785539693571716	0.09598608184318652	15.385658914728682	-20.853034219946885	INS;SLC2A4
KEGG_2021_Human	Insulin signaling pathway	2/137	0.011753397776716717	0.09598608184318652	14.690740740740742	-19.931093924152265	INS;SLC2A4
KEGG_2021_Human	Insulin resistance	2/108	0.007430876215757518	0.09598608184318652	18.778301886792452	-25.204052222837845	INS;SLC2A4
KEGG_2021_Human	Diabetic cardiomyopathy	2/203	0.024762333575826773	0.1733363350307874	9.784825870646767	-13.073912909097736	INS;SLC2A4
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	0.03174141642153645	0.1944161755819108	35.74666666666667	-18.6524135039421	INS
KEGG_2021_Human	MAPK signaling pathway	2/294	0.04897898942595734	0.23164581557553732	6.657534246575342	-8.337786615237395	INS;MAPT
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.04489527895199197	0.23164581557553732	24.790123456790123	-13.876145105511855	INS
KEGG_2021_Human	Type I diabetes mellitus	1/43	0.052002121863896134	0.23164581557553732	21.232804232804234	-12.171283962486152	INS
KEGG_2021_Human	HIF-1 signaling pathway	1/109	0.1270956407872156	0.23859319989161568	8.189300411522634	-4.893732148578802	INS
KEGG_2021_Human	Pathways of neurodegeneration	2/475	0.11356791602477233	0.23859319989161568	4.014270613107822	-4.131104230952899	APP;MAPT
