Gene_set	Pathway	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Longevity regulating pathway	4/102	4.7476288106462685e-06	0.00020889566766843582	54.21768707482993	-134.5540755438832	CAT;FOXO3;PRKAA1;SOD1
KEGG_2021_Human	FoxO signaling pathway	3/131	0.0004602084037564585	0.010124584882642087	26.584821428571427	-54.62268457986884	CAT;FOXO3;PRKAA1
KEGG_2021_Human	Mitophagy	2/68	0.0030081604419031007	0.04411968648124548	30.310606060606062	-38.524679686703344	FOXO3;TFEB
KEGG_2021_Human	Peroxisome	2/82	0.004345071040390256	0.04779578144429281	24.9625	-32.59170128251897	CAT;SOD1
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	0.008593668138311259	0.06680608652758999	9.149584487534627	-18.496977153394543	CAT;GPX3;SOD1
KEGG_2021_Human	AMPK signaling pathway	2/120	0.009109920890125906	0.06680608652758999	16.843220338983052	-22.75171510512794	FOXO3;PRKAA1
KEGG_2021_Human	Pathways of neurodegeneration	3/475	0.017772166326566263	0.11171075976698794	6.897094430992736	-13.07371705691191	CAT;GPX3;SOD1
KEGG_2021_Human	Galactose metabolism	1/31	0.03774052193970927	0.13986553343652422	29.77037037037037	-16.126223630092912	AKR1B1
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	1/30	0.03654338399736008	0.13986553343652422	30.800766283524904	-16.574318247175444	CAT
KEGG_2021_Human	Folate biosynthesis	1/26	0.03174141642153645	0.13986553343652422	35.74666666666667	-18.6524135039421	AKR1B1
KEGG_2021_Human	Pentose and glucuronate interconversions	1/34	0.0413239076062458	0.13986553343652422	27.053872053872055	-14.917083251918774	AKR1B1
KEGG_2021_Human	Fructose and mannose metabolism	1/33	0.040130782413471976	0.13986553343652422	27.90277777777778	-15.299431750604054	AKR1B1
KEGG_2021_Human	Circadian rhythm	1/31	0.03774052193970927	0.13986553343652422	29.77037037037037	-16.126223630092912	PRKAA1
